id,chamado_id,tecnico_id,data_execucao,descricao_servico
1,1,19,2025-04-16 01:01:36,Serviço realizado no chamado 1
2,11,7,2025-04-16 01:01:36,Serviço realizado no chamado 11
3,11,9,2025-04-17 01:01:36,Serviço realizado no chamado 11
4,5,10,2025-04-24 01:01:36,Serviço realizado no chamado 5
5,6,14,2025-04-25 01:01:36,Serviço realizado no chamado 6
6,8,15,2025-04-16 01:01:36,Serviço realizado no chamado 8
7,19,12,2025-04-26 01:01:36,Serviço realizado no chamado 19
8,3,10,2025-04-27 01:01:36,Serviço realizado no chamado 3
9,15,5,2025-04-25 01:01:36,Serviço realizado no chamado 15
10,4,20,2025-04-15 01:01:36,Serviço realizado no chamado 4
11,20,8,2025-04-18 01:01:36,Serviço realizado no chamado 20
12,15,11,2025-04-27 01:01:36,Serviço realizado no chamado 15
13,5,3,2025-04-28 01:01:36,Serviço realizado no chamado 5
14,12,19,2025-04-19 01:01:36,Serviço realizado no chamado 12
15,10,20,2025-04-24 01:01:36,Serviço realizado no chamado 10
16,11,10,2025-04-25 01:01:36,Serviço realizado no chamado 11
17,12,7,2025-04-26 01:01:36,Serviço realizado no chamado 12
18,12,6,2025-04-25 01:01:36,Serviço realizado no chamado 12
19,17,15,2025-04-25 01:01:36,Serviço realizado no chamado 17
20,11,9,2025-04-20 01:01:36,Serviço realizado no chamado 11
